text,label
"BEA buzzing about BeehiveBURLINGAME, CALIF.-- BEA Systems is expanding the open source Beehive initiative but still has no plans to participate in the Eclipse open source tools organization, despite the embrace of Beehive by Eclipse.",3
"Saudi Violence Pushes Oil Prices HigherOil prices were forced higher today by an outbreak of violence in Saudi Arabia and concerns that Opec may cut output. The cost of a barrel of light, sweet crude oil climbed ",2
"Storm shows Haiti #39;s straitsMuddy waters still occupied the heart of Gonaives last weekend, three weeks after Tropical Storm Jeanne provoked flash floods that killed some 1,900 and left 900 presumed dead.",0
"Crews Fail to Find Tree-Killing Beetle (AP)AP - Survey crews searching through woods and neighborhoods in northeast Indiana have not found any new signs of the beetle blamed for killing millions of ash trees in Michigan and Ohio, a state official said.",3
"Justice Is Too LightIt's too bad Stern stopped at 30 games for Ron Artest's Indiana teammate Stephen Jackson, who should have been kicked out for the rest of the season, too.",1
"Pacers Hang Tough Minus Suspended Players (AP)AP - Using a makeshift roster a night after brawling with fans, the Indiana Pacers pressed the Orlando Magic until the very end. Limited to just six players because of suspensions and injuries, the Pacers stayed close before dropping an 86-83 decision to Orlando on Saturday night.",1
"O's Lose 10th StraightThe A's use home runs by Erubiel Durazo and Eric Chavez to finish a four-game sweep of the crumbling Orioles, 9-4, on Thursday.",1
"OPEC likely to push to tighten supplyOPEC oil producers meeting here this week are likely to clamp down on excess supply has that helped lower prices from record highs and will discuss how much to raise their price target, cartel officials said yesterday.",2
"A breakthrough could be in the worksBy now, every Aggie knows the significance of coach Dennis Franchione #39;s second year. Year two is usually his signature season, the one people look back at as the return to prominence.",1
"Baseball: Have a seat - sitting in the lap of Chicago Cubs #39; &lt;b&gt;...&lt;/b&gt;CHICAGO It was a birthday gift from his girlfriend and brother, a box-seat ticket to a Chicago Cubs game against Montreal at Wrigley Field.",1
"Microsoft delays security update for Windows XP ProfessionalREDMOND, Wash. -- Microsoft has delayed distribution of a security update for users of its Windows XP Professional operating system to give some companies more time to test it, the software company said Tuesday. ",3
"Samsung Q3 sales, profits show strong growthIts net income during the June to September period was 2.69tr won (1.2bn), 46 up on the same period a year earlier. During the period, which is Samsung Electronics #39; fiscal third quarter, the company said ",2
Sony Ericsson introduces new quad-band EDGE/Wi-Fi PC cardThe GC89 PC Card combines global EDGE coverage with the WiFi technology in a single card which is compatible with both Windows and Macintosh computers.,3
"8 Terror Suspects Appear in British CourtLONDON - Eight men accused of plotting to commit murder and cause mayhem with radioactive materials, toxic gases, chemicals or explosives appeared in court Wednesday in a case linked to a U.S. terror alert this month...",0
American Sprinters Show a Mix of Bluster and SpeedShawn Crawford of the United States left the baseball cap at home and no longer needed the showy sunglasses he wore in Saturday morning #39;s first heat.,1
"Aides Seeking Arafat Burial in West BankAs Yasir Arafat lay in a deep coma, Palestinian officials asked Israel for permission to bury him in Ramallah.",0
UN scaling back Darfur food aidThe World Food Programme scales back its projects in Darfur in Sudan because of worsening security.,0
"Cleveland has nothing to lose vs. PatriotsCLEVELAND  #151; This area is football #146;s mecca  #151; the Hall of Fame is about an hour away, in Canton  #151; yet the fans here have been deprived of good football for so long.",1
Becks row rumbles onDavid Beckham is still in danger of facing disciplinary action for admitting he got booked on purpose - despite Sven-Goran Eriksson #39;s attempts to draw a line under the controversy.,1
"ST Telemedia, TM International to acquire 48 per cent stake in &lt;b&gt;...&lt;/b&gt;Singapore Technologies Telemedia (ST Telemedia) and TM International, the international investment arm of Telekom Malaysia (together as a Consortium), have entered into definitive agreements to acquire a 47.7 per cent stake in IDEA Cellular (IDEA ",2
"Netflix Raises Subscriber Forecast After Price CutOnline DVD rental company Netflix Inc. (NFLX.O: Quote, Profile, Research) on Wednesday raised its subscriber and revenue forecasts for the fourth quarter, saying a price cut had helped draw new customers.",2
"U.S. Bioterror Plan Frustrates Industry (AP)AP - When President Bush signed Project BioShield into law in July, he said he was immediately making  #36;5.6 billion available to counter such anticipated threats as smallpox genetically engineered to render current vaccines useless.",3
"ECB Rates Unchanged FRANKFURT (Reuters) - European Central Bank President  Jean-Claude Trichet kept up his anti-inflation rhetoric on  Thursday, warning of short-term risks to the inflation outlook  even as growth prospects are deteriorating.",2
Beckham Main Worry for ErikssonSven-Goran Eriksson is counting on David Beckham being able to prove his fitness for tomorrows vital World Cup qualifier in Poland despite a rib injury.,1
"Seedorf: We Are ReadyThe Milan midfielder believes that the Rossoneri are ready to take on Juventus on Saturday night. Clarence Seedorf will be facing his former coach at Real Madrid, Fabio Capello, this weekend, but hed rather ",1
"Sharapova, Venus Struggle to Win at Open (AP)AP - Maria Sharapova zinged shots so sharply against Jelena Jankovic, many fans at Louis Armstrong Stadium left their seats early in hopes of finding a more competitive match. They missed seeing things get kind of interesting at the U.S. Open.",1
Three in London court appearance on terrorism charges (AFP)AFP - Three men charged under Britain's anti-terrorism laws on suspicion of seeking to obtain radioactive material to make a nuclear device made a brief first appearance Saturday before a London court.,0
"Suicide attack kills 13 near Baghdad Green ZoneSmoke rises from a spot where a car bomb exploded in Baghdad, Iraq, December 13. A suicide bomber killed 13 people in an attack Monday near to the heavily fortified Green Zone in central Baghdad.",0
"US Envoy Denies Using Influence in Afghan ElectionsThe United States ambassador to Afghanistan denies allegations he is meddling in the country #39;s first direct presidential election, to be held on October 9. US ambassador to Kabul, Zalmay Khalilzad, says that ",0
Todd MacCulloch RetiresPhiladelphia 76ers President and General Manager Billy King announced today that center Todd MacCulloch will retire from the game of basketball.,1
"Microsoft details conflicts in new XP updateMicrosoft has published a list of nearly 50 applications -- including developer and backup tools, antivirus software and an FTP client -- that may not work correctly after installing Service Pack 2 for Windows XP.",3
Keyboards are &lt;u&gt;old&lt;/u&gt; - tap tables to send emailSensor system allows input from virtually anything,3
"Tigers lose game, two All-StarsThe Tigers fell again to a manufactured Minnesota run Saturday night, but what they needed more was manufactured health. While the Tigers lost a 3-2 decision to the Twins ",1
"Astronomers Spot Smallest Planets Yet (AP)AP - American astronomers say they have discovered the two smallest planets yet orbiting nearby stars, trumping a small planet discovery by European scientists five days ago and capping the latest round in a frenzied hunt for other worlds like Earth.",3
"Super search Accoona.com launched in US and ChinaThe New Jersey-based Accoona Corporation, an industry pioneer in artificial intelligence search technology, announced on Monday the launch of Accoona.",2
"Google Stock Falls as Share Lockups ExpireShares of Google Inc. (GOOG.O: Quote, Profile, Research) fell as much as 6.5 percent on Tuesday, as selling restrictions were lifted on 39 million shares held by employees and early ",2
"T.O. Effect Gives Boost to Eagles' Offense (AP)AP - Terrell Owens' impact is easy to see in the statistics, where the big-gain catches and flashy touchdowns have often led to regular-season wins.",1
"Powell says Iran pursuing nuclear bombThe United States has intelligence that Iran is working to adapt missiles to deliver a nuclear weapon, further evidence that the Islamic republic ",0
"Bomb Blasts Rock KathmanduNepal #39;s Maoist rebels opened fire and set off bombs at a government office in Kathmandu Friday, the third day of a blockade of the capital by Maoist rebels. ",0
"Gloom continues at M amp;SALES are still falling at Marks  amp; Spencer, the company revealed today, sparking fresh fears for the retailers recovery. The group confirmed that half-year profits will be between 285m-295m, in line with ",2
"Amex to Record Charge, Cut JobsAmerican Express (AXP.N: Quote, Profile, Research) on Friday said it expects to record a fourth-quarter pretax charge of up to \$120 million and cut 2,000 jobs related primarily to a restructuring of its business travel unit and the ",2
"New Breed of Cat: Clones to Make Debut at Annual ShowThe annual cat show at Madison Square Garden, which begins on Friday, will include cloned kittens for the first time.",3
"SEC chief urges Congress to defer to board on optionsThe US Congress should stay out of the debate over expensing stock options and let the Financial Accounting Standards Board handle it, US Securities and Exchange Commission chairman William Donaldson said.",2
Nintendo and Sony Square Off in Handheld Game MarketSony and Nintendo made separate product announcements ahead of the highly competitive holiday shopping season.,3
"Nikkei Up 1.5 Pct, Year-End Rally Eyed TOKYO (Reuters) - Tokyo stocks posted strong rises by  Friday afternoon as hopes for a seasonal year-end rally and the  imminent inclusion of oil and gas developer INPEX Corp. into  the TOPIX index, spurred buying in a wide range of stocks.",2
San Diego ChargersDENVER (Ticker) -- Jake Plummer more than made up for a lack of a running game. Plummer passed for 294 yards and two touchdowns as the Denver Broncos posted a 23-13 victory over the San Diego Chargers in a battle of AFC West Division rivals.,1
"IRA must take immediate steps to disarm: N. Ireland Protestant leader (AFP)AFP - Warning that he would not be ""bluffed,"" Protestant leader Ian Paisley said the latest attempt to achieve piece in Northern Ireland was doomed unless the Catholic paramilitary IRA took immediate and verifiable steps to disarm.",0
"Chechen lists details of attack on schoolMOSCOW Shamil Basayev, the elusive Chechen guerrilla commander who has become Russia #39;s most wanted man, has claimed responsibility for planning terror attacks that have killed more than 440 people here in recent weeks and is threatening to strike anew, a ",0
"After Storm, a New Look at Stiffer Building CodesWhen structural engineers from Miami pushed the rest of Florida to adopt much stricter building codes after Hurricane Andrew, the response was generally blas.",2
"Houston now in controlHOUSTON - From the start, Game 5 of the National League Championship Series was unlike any of the previous four. But in the end, it was decided by another home run, this one from Houston #39;s Jeff Kent with ",1
"US Maintains Dollar Policy, Official Says (Reuters)Reuters - America has not changed its strong\dollar policy and still expects China to make its own currency\more flexible, a Treasury official said on Monday, shrugging\off comments from Beijing that had jolted markets.",2
"Cox Forms Committee to Consider Buyout NEW YORK (Reuters) - Cox Communications Inc., the No. 4  U.S. cable television provider, said late on Tuesday  it formed  a committee of independent directors to consider a \$7.9 billion  offer from its controlling family to take the company private.",2
Music Download Vending Machines Set for Britain LONDON (Reuters) - The first vending machines to sell music  downloads are to be introduced in London next month as Britons  continue to turn their backs on traditional methods of buying  singles.,3
"IBM Selling PC Unit to China's Lenovo BEIJING/SAN FRANCISCO (Reuters) - IBM is selling its  PC-making business to China's largest personal computer maker,  Lenovo Group Ltd., for \$1.25 billion, marking the U.S. giant's  retreat from an industry it helped pioneer in 1981.",2
Webb two off Sorenstam #39;s paceKarrie Webb shot an opening round of four-under par 68 to be two shots behind Annika Sorenstam at the LPGA Tour Championship at Trump International golf course.,1
Clemson Wins in 2OTCharlie Whitehurst threw an 11-yard touchdown pass to Kyle Browning in the second overtime that lifted No. 15 Clemson to a 37-30 victory over Wake Forest on Saturday.,1
Key Witness in India Riot Case Retracts TestimonyA landmark trial arising from attacks on Muslims that swept the state of Gujarat in 2002 was thrown into turmoil Wednesday when the government #39;s star witness accused ,0
Yudhoyono declared presidentJAKARTA - Indonesia #39;s National Elections Commission officially declared Susilo Bambang Yudhoyono president Monday after vote-counting in the country #39;s Sept 20 presidential election runoff was finalized.,0
United ends Arsenal #39;s streakManchester United emerged triumphantly from an uncompromising Battle of the Titans to end Arsenal #39;s 49-match unbeaten English Premier League run with a 2-0 victory at Old Trafford on Sunday.,1
Williams  #39;Hungary #39; for successBritish heavyweight hope Danny Williams believes the key to beating WBC champion Vitali Klitschko and becoming the heavyweight champion of the world in Las Vegas on December 11 is his hunger and desire to succeed.,1
MSN Music expands reach to give iTunes a serious challengeEight more European countries got access to Microsofts MSN Music Store today. This comes in wake of Apples similar move to provide iTunes access to more European countries.,3
"Nets need to scoreEAST RUTHERFORD, NJ Lawrence Frank preaches the value of defense so much that he #39;d probably be more comfortable giving a blocking forearm to the back than a handshake as a form of introduction.",1
"Jim Mora Jr., Tom O #39;Brien are top Washington candidatesIt looks like the Washington Huskies search for a new head football coach has picked up in the last several days. Reports from around the country have stated that Washington has met with or contacted former ",1
"Manmohan praises contribution of Indian diasporaPrime Minister Manmohan Singh lavished generous praiseon the Indian diaspora, particularly in the US and Britain, calling them a  quot;bridge quot; between their adopted land and India and said the country took  quot;pride in their achievements quot;.",2
"Red Sox Replacing Team Physician Morgan (AP)AP - The Boston Red Sox are replacing team physician Bill Morgan, who helped stitch together a World Series title by suturing Curt Schilling's ankle and allowing him to stay in the postseason rotation.",1
"Sulamani cruises by 11/2 in Canadian InternationalThe other jockeys tried to keep Sulamani, the 4-5 favorite, boxed in, but it hardly mattered as he captured the \$1.5 million, Grade I Pattison Canadian International by 11/2 lengths under a hand ride yesterday at Woodbine Racetrack in Toronto.",1
Denehy boosts Walpole Danvers coach thought he had the perfect game plan against Walpole last night in the Division 2 playoffs at Endicott College. It was the same game plan that earned his team its first playoff berth in 63 years.,1
"Fox joins Blu-ray groupcom October 4, 2004, 11:57 AM PT. Twentieth Century Fox has joined a group developing one of two formats being promoted as a next-generation DVD technology.",2
"Davenport wins in GermanyLindsay Davenport, 28, won her tour high seventh title of the year Sunday at the Porsche Grand Prix in Filderstadt, Germany. Davenport won when top ranked Amelie Mauresmo was forced to retire from the final because of an injured left thigh.",1
"OPEC votes to lift output, aims to ease fearsOPEC ministers yesterday agreed to increase their ceiling for oil production to help bring down stubbornly high prices in a decision that traders and analysts dismissed as symbolic because the cartel already is pumping more than its new target.",2
"The Black Widows' RevengeAfter the terror bombing of two airliners in Russia, the Kremlin tries to face up to a new Chechen tactic",0
"James Becomes Youngest to Score 2,000LeBron James scored 26 points to become the youngest player in NBA history to reach 2,000 in a career, leading the Cleveland Cavaliers to a 96-74 victory over the Chicago Bulls on Saturday night.",1
Nepal talks hopesKATHMANDU: Nepal #39;s ruling coalition expressed hope yesterday for peace talks to end eight years of war as the capital returned to normal after Maoist rebels who control much of the countryside lifted a blockade.,0
"ISPs file more antispam lawsuitsMicrosoft, AOL, EarthLink and Yahoo filed three new lawsuits to stop the spread of unsolicited e-mail.",3
Diouf set for ban following spit furyON-LOAN Liverpool striker El Hadji Diouf is facing a three-match ban after his latest spitting controversy drew widespread disgust from the football world.,1
"Big Red ready to see CrimsonLast year's game against Cornell, was both a win and a loss for the Harvard football team. The Crimson defeated Cornell, 27-0, but lost quarterback Ryan Fitzpatrick in the fourth quarter because of a fracture in his right hand that bumped him out of the lineup for two games.",1
